campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas
7791,Category Promotion,2024-05-27,Inactive,App,6379,914,32,1669.010009765625,5909.4501953125,2.1700000762939453
7847,App Push Notification,2024-06-24,All,SMS,4556,955,78,1163.1199951171875,3696.7099609375,3.109999895095825
8105,Category Promotion,2024-05-16,Premium,App,1680,950,83,3277.199951171875,9286.6396484375,2.5999999046325684
8162,Weekend Special,2024-05-15,Premium,App,7758,355,69,3383.18994140625,6928.02001953125,2.509999990463257
8292,Referral Program,2024-09-08,All,SMS,6368,322,49,2067.0,4930.89990234375,2.7799999713897705
8328,App Push Notification,2024-10-21,All,Email,3212,747,63,3964.610107421875,7024.83984375,2.440000057220459
8397,App Push Notification,2023-07-11,Inactive,App,4737,922,68,1445.989990234375,5592.02001953125,3.5
8471,Flash Sale,2023-05-27,All,SMS,4776,598,26,4970.8701171875,6411.89013671875,3.9000000953674316
8490,Membership Drive,2023-12-01,New Users,App,3707,517,10,3502.639892578125,4271.080078125,3.0299999713897705
9300,Flash Sale,2023-07-30,New Users,Social Media,5596,654,53,3439.010009765625,2287.9599609375,3.819999933242798
9609,Email Campaign,2023-12-31,Premium,SMS,6133,116,81,1402.0,6264.580078125,3.4200000762939453
9624,Referral Program,2024-09-10,New Users,App,4172,144,57,1139.800048828125,9098.98046875,2.5
9650,Festival Offer,2023-04-29,Premium,Social Media,5010,232,91,1582.1700439453125,8900.41015625,2.180000066757202
9930,Flash Sale,2023-10-18,New Users,Email,4696,519,84,1887.219970703125,2884.590087890625,3.2799999713897705
10407,Flash Sale,2023-12-06,Premium,SMS,8189,182,33,4178.580078125,5531.81005859375,2.880000114440918
10502,App Push Notification,2024-03-03,New Users,Email,2115,449,75,3543.6201171875,9807.1796875,2.0399999618530273
10707,App Push Notification,2024-08-22,New Users,Social Media,3887,279,83,2882.639892578125,3331.14990234375,1.8899999856948853
10864,Weekend Special,2023-09-17,All,Social Media,2756,890,12,4138.22998046875,6336.740234375,3.950000047683716
10907,Category Promotion,2024-08-20,All,SMS,8100,606,19,1790.8599853515625,3124.919921875,3.680000066757202
11123,Flash Sale,2023-12-24,All,App,4095,917,10,3467.800048828125,9097.2900390625,1.9600000381469727
11218,New User Discount,2023-07-17,Inactive,SMS,4971,771,41,4256.14990234375,3786.1298828125,2.8399999141693115
11880,Weekend Special,2024-01-09,All,Email,3636,928,11,2470.75,4370.14013671875,1.909999966621399
12026,Category Promotion,2023-08-26,All,SMS,5024,902,52,4855.3701171875,2766.14990234375,3.4700000286102295
12188,Membership Drive,2024-03-13,All,Email,3946,823,97,1367.6099853515625,2995.360107421875,2.619999885559082
12627,Flash Sale,2024-07-17,All,Social Media,7320,541,31,4870.47021484375,4779.89990234375,1.9299999475479126
12695,Membership Drive,2024-03-12,New Users,Email,2355,127,40,3706.77001953125,3900.22998046875,3.5799999237060547
13677,App Push Notification,2023-04-06,Premium,App,5698,744,99,3873.0400390625,5814.0400390625,3.759999990463257
13895,Referral Program,2023-03-27,Inactive,Email,3684,212,75,1743.3900146484375,4131.25,3.8299999237060547
14008,New User Discount,2024-10-11,Premium,Social Media,7827,694,82,4438.830078125,7975.60986328125,3.5999999046325684
14119,Referral Program,2023-08-20,All,App,6316,636,32,4317.64013671875,7810.080078125,1.9700000286102295
14196,Weekend Special,2023-12-05,Premium,App,1580,904,20,2739.510009765625,3614.179931640625,2.9600000381469727
14906,Membership Drive,2023-12-28,All,Email,4022,223,38,1064.93994140625,4489.990234375,2.7699999809265137
15274,App Push Notification,2024-01-06,Inactive,Social Media,6352,106,23,2355.6298828125,5374.330078125,2.7699999809265137
15528,Festival Offer,2024-07-13,Premium,SMS,9050,710,50,3218.7099609375,5250.64013671875,3.819999933242798
15660,App Push Notification,2023-10-03,All,App,1474,976,43,2599.02001953125,4530.240234375,2.7699999809265137
15860,Category Promotion,2023-10-03,Premium,SMS,4694,734,89,3472.5,4586.02001953125,3.569999933242798
15969,Weekend Special,2023-06-28,Inactive,App,1356,209,23,1627.27001953125,7989.47021484375,2.319999933242798
16093,Weekend Special,2024-05-29,Inactive,Social Media,3736,419,54,2562.77001953125,5829.56005859375,1.6200000047683716
16465,Weekend Special,2024-04-04,All,SMS,4012,638,50,4597.52001953125,6344.81982421875,1.9900000095367432
16552,App Push Notification,2023-04-01,Premium,Social Media,5791,466,38,3477.780029296875,6151.75,3.759999990463257
16774,Referral Program,2023-05-15,New Users,App,7840,315,32,1628.5,6223.43994140625,3.450000047683716
17075,App Push Notification,2023-06-25,All,Email,2573,355,40,4220.5400390625,3844.8798828125,2.5199999809265137
17254,Weekend Special,2023-06-10,Inactive,App,9009,599,38,3378.60009765625,9573.4599609375,3.4100000858306885
17383,Weekend Special,2023-10-04,New Users,SMS,4969,872,21,3731.22998046875,6354.66015625,2.2100000381469727
17641,Weekend Special,2024-03-29,New Users,SMS,8099,674,64,4597.60986328125,5540.330078125,3.680000066757202
17745,New User Discount,2024-05-06,Premium,Email,7898,1000,95,4112.9501953125,6845.60009765625,3.140000104904175
17827,Flash Sale,2023-05-15,All,Email,3256,289,91,1968.3699951171875,6523.2001953125,2.0899999141693115
18141,Festival Offer,2024-08-23,Premium,Social Media,7323,298,93,2738.0,4515.64013671875,3.0
18616,Membership Drive,2024-03-23,Premium,SMS,5483,174,56,1713.3800048828125,4795.14990234375,2.5
18694,Email Campaign,2024-06-06,All,Email,1630,984,12,2678.919921875,3340.669921875,2.680000066757202
18837,Category Promotion,2023-08-04,Inactive,Social Media,2576,489,45,2551.260009765625,8846.2998046875,3.990000009536743
18874,Referral Program,2023-06-02,All,Email,6897,236,89,2341.179931640625,2705.610107421875,1.909999966621399
19099,Email Campaign,2024-01-05,Premium,App,5257,619,29,3597.159912109375,7778.16015625,3.4700000286102295
19278,Referral Program,2023-11-30,All,Social Media,9175,334,12,3902.929931640625,6049.33984375,3.799999952316284
19412,Email Campaign,2023-06-02,All,App,4784,241,32,3372.360107421875,8273.650390625,1.840000033378601
19885,Festival Offer,2023-07-31,New Users,Social Media,2772,596,48,2741.1298828125,2018.9300537109375,2.4700000286102295
20729,Category Promotion,2023-09-15,Inactive,Email,5849,884,25,2724.68994140625,3724.68994140625,3.5399999618530273
20834,Festival Offer,2024-09-11,All,App,4599,595,77,3419.35009765625,5493.47021484375,3.299999952316284
20892,New User Discount,2023-07-30,All,SMS,5649,657,13,1171.52001953125,2935.219970703125,2.799999952316284
21013,App Push Notification,2023-11-09,Premium,SMS,4558,354,32,2838.409912109375,8937.990234375,2.6700000762939453
21048,Weekend Special,2023-05-13,All,Social Media,6701,715,31,1156.0899658203125,7542.31005859375,1.7899999618530273
21518,Category Promotion,2023-10-31,Inactive,App,8017,305,55,1223.8599853515625,7713.3798828125,3.930000066757202
21583,App Push Notification,2023-04-22,All,Email,6287,572,18,4799.81005859375,4253.0498046875,2.809999942779541
22032,Weekend Special,2024-02-19,Premium,App,1505,711,86,3742.6298828125,9624.83984375,2.1700000762939453
22459,New User Discount,2024-08-25,All,App,7793,427,30,4221.52978515625,6827.2998046875,3.930000066757202
22573,Referral Program,2023-04-01,All,Social Media,2166,546,22,3019.56005859375,2248.47998046875,2.859999895095825
22873,New User Discount,2023-05-10,Premium,Email,4915,238,15,2770.3701171875,9548.9296875,2.430000066757202
22894,Flash Sale,2023-12-10,Inactive,Email,4624,773,14,3176.889892578125,7989.0400390625,2.5999999046325684
22916,New User Discount,2023-05-29,Premium,App,3611,533,38,4786.9501953125,5036.4501953125,2.2300000190734863
22970,New User Discount,2024-01-24,New Users,Social Media,7294,677,20,1030.239990234375,5705.5498046875,2.680000066757202
23162,App Push Notification,2024-03-28,Inactive,Social Media,1821,631,88,2508.330078125,7230.66015625,1.850000023841858
23172,Referral Program,2024-05-09,Inactive,Email,4780,407,56,4593.89990234375,5955.91015625,2.240000009536743
23268,Referral Program,2024-02-26,All,SMS,1047,981,92,2280.3798828125,8026.93994140625,3.3399999141693115
23436,Flash Sale,2024-04-03,Inactive,App,6051,681,29,4343.259765625,2970.989990234375,3.3299999237060547
23447,Category Promotion,2024-09-19,All,App,4528,552,53,1484.5400390625,3380.760009765625,3.4200000762939453
23520,Flash Sale,2024-06-30,New Users,App,2732,634,48,1120.1800537109375,7095.81005859375,3.0199999809265137
23552,Membership Drive,2024-07-22,All,SMS,8825,282,16,1657.2900390625,3088.760009765625,2.6600000858306885
23763,Email Campaign,2023-05-11,Premium,App,1868,547,92,4430.56005859375,7795.22998046875,2.180000066757202
23792,Membership Drive,2023-07-21,New Users,Email,9305,688,84,4922.39990234375,3501.280029296875,1.5800000429153442
23915,Festival Offer,2024-02-16,Inactive,Email,8430,128,42,1478.18994140625,5756.35986328125,2.7699999809265137
24596,New User Discount,2023-11-12,All,SMS,2137,297,86,1852.31005859375,2487.969970703125,2.859999895095825
24677,Referral Program,2023-09-05,Inactive,Social Media,1952,346,45,3176.969970703125,9135.099609375,2.2699999809265137
25152,Flash Sale,2023-07-13,Premium,Social Media,3917,904,71,4815.27978515625,5667.02978515625,2.059999942779541
25291,Membership Drive,2024-06-09,New Users,Email,1432,983,90,2871.10009765625,3458.280029296875,1.8799999952316284
25450,New User Discount,2024-09-08,Premium,SMS,6787,370,16,2589.070068359375,9052.3798828125,2.4800000190734863
25586,Flash Sale,2024-04-27,Inactive,App,1213,936,17,4561.490234375,7794.52978515625,2.9200000762939453
25710,New User Discount,2023-06-12,All,Social Media,7236,704,45,2646.409912109375,3578.139892578125,2.9100000858306885
25760,Flash Sale,2023-10-12,New Users,Email,7077,509,65,1579.719970703125,9678.6796875,3.740000009536743
26051,Weekend Special,2023-03-23,Inactive,Email,5924,472,87,1948.25,5118.52978515625,3.119999885559082
26262,Weekend Special,2024-09-07,New Users,Email,7764,321,79,3709.35009765625,2761.610107421875,2.009999990463257
26431,Flash Sale,2023-12-15,All,Email,3413,948,94,3262.52001953125,5640.1201171875,2.3299999237060547
26622,Weekend Special,2024-03-26,Inactive,Social Media,2245,819,88,3905.8798828125,9876.0400390625,1.6200000047683716
26716,Weekend Special,2024-03-23,Inactive,Social Media,1632,668,83,2733.10009765625,8441.650390625,2.5899999141693115
26843,New User Discount,2024-08-20,Inactive,Email,2314,983,72,3316.60009765625,4068.949951171875,2.0899999141693115
27041,App Push Notification,2024-07-27,Premium,Email,2523,957,12,3603.219970703125,9873.9697265625,3.369999885559082
27094,App Push Notification,2023-05-09,Premium,Email,6290,231,16,3026.27001953125,6913.02978515625,3.7100000381469727
27136,Weekend Special,2024-07-08,Inactive,Social Media,3081,663,98,4462.35009765625,5634.2998046875,3.0299999713897705
27202,Flash Sale,2024-08-31,Premium,Email,6510,679,47,4842.72998046875,9894.4697265625,3.359999895095825
27431,New User Discount,2023-03-30,All,SMS,7902,167,99,2021.449951171875,5977.60009765625,1.5299999713897705
27481,Membership Drive,2023-08-28,Inactive,App,5332,613,63,3368.159912109375,6807.10009765625,2.0
27552,Weekend Special,2024-04-05,Premium,Email,9813,247,98,2585.080078125,7930.8701171875,1.9500000476837158
27596,Email Campaign,2024-10-22,Premium,Social Media,2648,898,24,3747.0,7410.91015625,2.990000009536743
27697,Membership Drive,2023-10-02,Inactive,SMS,6610,360,49,2065.56005859375,8499.4697265625,2.4700000286102295
28630,Category Promotion,2023-11-15,New Users,Social Media,7512,852,43,2283.8701171875,6815.2998046875,1.6200000047683716
29162,Category Promotion,2023-07-28,Inactive,App,8376,211,84,1613.4599609375,2642.68994140625,3.2100000381469727
29571,Flash Sale,2023-09-06,Inactive,Email,4541,651,58,3104.469970703125,5570.72021484375,2.4100000858306885
29787,Festival Offer,2023-09-12,Premium,Email,3440,213,95,4657.41015625,4284.14990234375,1.6100000143051147
30242,App Push Notification,2024-01-24,New Users,Social Media,3303,571,58,1456.1400146484375,7310.009765625,3.7100000381469727
30302,Category Promotion,2023-09-01,All,Email,5265,375,37,4831.5498046875,4258.89990234375,2.490000009536743
30737,Weekend Special,2024-08-14,Inactive,Email,6818,180,62,3922.64990234375,8681.9404296875,1.5399999618530273
31613,Email Campaign,2023-08-14,All,Email,4449,179,15,4941.740234375,5093.66015625,3.0799999237060547
31741,Flash Sale,2023-04-03,All,App,8803,629,21,1692.280029296875,8811.75,3.549999952316284
31771,Weekend Special,2024-09-10,New Users,SMS,9549,854,81,2562.949951171875,4020.320068359375,2.009999990463257
32575,Flash Sale,2024-08-25,Inactive,Social Media,2083,323,26,3018.5,5970.93017578125,3.319999933242798
32579,Membership Drive,2024-10-04,Premium,Email,3616,848,27,1841.760009765625,3599.7099609375,2.609999895095825
32912,Flash Sale,2024-05-20,All,Social Media,8487,605,18,3082.510009765625,2968.77001953125,2.299999952316284
32945,New User Discount,2023-08-15,Inactive,Social Media,6291,259,30,4143.85986328125,9811.6298828125,2.3399999141693115
33033,Flash Sale,2023-07-05,New Users,App,5102,436,84,1549.1700439453125,6919.419921875,1.6100000143051147
33081,Membership Drive,2024-09-22,All,SMS,2897,706,56,3796.889892578125,4450.18994140625,2.4200000762939453
33189,Referral Program,2024-06-13,Inactive,SMS,9405,260,35,3337.6298828125,6089.43994140625,2.4200000762939453
33374,Membership Drive,2024-05-23,Premium,App,3337,552,91,3872.989990234375,5162.93994140625,3.299999952316284
33724,Email Campaign,2024-06-03,All,SMS,8430,407,94,3823.75,8414.9599609375,2.9600000381469727
33915,Email Campaign,2024-06-29,Inactive,App,5404,569,80,3626.889892578125,3659.989990234375,2.799999952316284
33956,Membership Drive,2024-10-12,Inactive,Social Media,9818,161,75,3600.340087890625,7589.85009765625,2.569999933242798
34023,App Push Notification,2023-08-22,Inactive,App,9525,838,36,2764.830078125,6599.27978515625,2.680000066757202
34071,Weekend Special,2023-09-13,New Users,SMS,6493,345,19,1264.3800048828125,5396.85009765625,1.649999976158142
34191,Festival Offer,2024-10-16,Inactive,Social Media,3138,724,13,1622.3299560546875,7683.6201171875,3.5799999237060547
34197,Category Promotion,2024-09-03,Inactive,Email,1801,237,39,1838.0799560546875,5871.669921875,1.9500000476837158
34437,Email Campaign,2023-12-08,All,App,9485,691,38,2610.25,7619.35986328125,3.6700000762939453
34479,Referral Program,2023-04-10,New Users,SMS,8100,801,84,1934.3499755859375,5040.7998046875,2.940000057220459
34599,Flash Sale,2024-02-08,All,Email,2801,171,54,1360.6300048828125,5629.259765625,2.619999885559082
35201,New User Discount,2023-06-09,New Users,App,2094,275,49,2507.889892578125,9695.509765625,2.9600000381469727
35634,New User Discount,2024-09-09,New Users,App,7447,473,42,4306.669921875,4989.9501953125,3.5799999237060547
35694,Festival Offer,2024-06-11,Inactive,App,2368,640,93,3856.18994140625,7217.39990234375,3.3399999141693115
35758,Festival Offer,2023-12-05,All,Social Media,4879,415,59,2679.97998046875,4890.31005859375,2.859999895095825
36165,Festival Offer,2023-07-13,All,Social Media,3027,142,71,3470.919921875,3886.219970703125,3.319999933242798
36202,Festival Offer,2024-11-03,New Users,Email,7102,858,53,1454.22998046875,8523.26953125,2.869999885559082
36422,Email Campaign,2024-03-03,New Users,App,7580,819,98,3602.1298828125,2330.64990234375,3.059999942779541
36547,Category Promotion,2024-09-07,Inactive,App,2034,897,28,3570.219970703125,2436.2900390625,3.359999895095825
36599,Email Campaign,2023-08-07,All,SMS,6856,624,24,1352.030029296875,5185.22998046875,3.4200000762939453
36759,App Push Notification,2023-05-14,New Users,Email,7422,812,57,2883.81005859375,9742.3701171875,1.5399999618530273
36917,Email Campaign,2024-03-27,All,App,9733,246,44,1675.77001953125,2682.320068359375,3.7200000286102295
37189,Flash Sale,2023-05-12,New Users,Social Media,3574,237,26,2570.4599609375,3802.919921875,2.759999990463257
37245,Festival Offer,2023-10-06,New Users,SMS,5269,383,27,4700.02001953125,6249.81982421875,2.630000114440918
37283,Category Promotion,2024-02-15,Premium,Email,5911,963,81,4538.43017578125,4404.72021484375,1.690000057220459
38153,Weekend Special,2024-10-20,All,App,7842,559,20,1927.219970703125,8434.349609375,2.1500000953674316
38412,Flash Sale,2024-06-28,Inactive,App,3952,731,54,3131.760009765625,7342.56005859375,1.5299999713897705
38495,Email Campaign,2024-02-16,Inactive,Email,4014,396,66,3527.14990234375,7139.7900390625,2.069999933242798
38519,Flash Sale,2023-11-26,New Users,SMS,8942,906,16,4071.7099609375,6396.72998046875,3.2200000286102295
38680,Weekend Special,2024-10-17,Premium,App,6986,769,13,2756.389892578125,3006.929931640625,2.1500000953674316
38835,Email Campaign,2024-04-14,Premium,Social Media,5413,695,47,1257.4300537109375,7720.25,3.609999895095825
38843,Festival Offer,2023-08-13,Inactive,SMS,9048,829,44,3993.330078125,4005.010009765625,3.490000009536743
39018,Email Campaign,2024-03-10,Premium,Social Media,1647,760,10,4785.1201171875,9106.990234375,3.0299999713897705
39073,Festival Offer,2023-06-19,Premium,Social Media,8575,280,98,1027.0,5171.330078125,3.069999933242798
39386,App Push Notification,2024-02-07,New Users,Social Media,7171,142,92,2292.929931640625,2477.85009765625,3.069999933242798
39416,Membership Drive,2024-01-24,Premium,SMS,1867,823,72,1922.260009765625,4140.240234375,1.850000023841858
39447,App Push Notification,2024-03-02,Premium,SMS,2090,841,38,2510.4599609375,6998.89990234375,1.9199999570846558
39545,Category Promotion,2024-11-01,All,SMS,1489,317,95,2527.820068359375,9966.8896484375,3.0299999713897705
39894,Flash Sale,2024-03-20,Premium,Email,5559,987,80,3334.389892578125,3608.219970703125,2.619999885559082
40100,Membership Drive,2024-06-16,All,SMS,7337,294,16,1919.719970703125,8444.1396484375,1.899999976158142
40613,Flash Sale,2024-10-11,All,App,2551,550,64,4034.2099609375,6741.2998046875,2.4000000953674316
40931,Weekend Special,2023-06-07,Premium,SMS,2369,517,28,4252.68017578125,3323.8701171875,1.940000057220459
41094,App Push Notification,2023-06-07,New Users,Email,2471,642,64,4045.97998046875,5552.56005859375,3.9100000858306885
41346,App Push Notification,2023-11-16,Inactive,Social Media,3674,546,90,3738.639892578125,8373.91015625,3.5
41538,Festival Offer,2024-09-01,All,Social Media,8700,975,48,2673.199951171875,4536.759765625,2.6600000858306885
41762,Category Promotion,2023-07-20,New Users,App,7390,105,25,4256.97021484375,7543.56005859375,2.359999895095825
42263,App Push Notification,2024-10-26,Inactive,Email,1723,258,81,1558.9300537109375,8570.26953125,2.0199999809265137
42409,Email Campaign,2024-09-05,Inactive,Email,7417,555,18,1233.050048828125,5467.16015625,2.009999990463257
42413,Flash Sale,2024-03-15,Premium,App,4998,512,42,4436.580078125,3213.25,2.640000104904175
42773,Referral Program,2024-05-06,All,Social Media,5068,235,41,3758.25,8305.3896484375,2.6600000858306885
43278,Festival Offer,2024-01-17,Inactive,App,8266,805,59,3810.1201171875,8723.6201171875,2.25
43467,New User Discount,2024-02-29,New Users,Email,7316,104,64,3465.52001953125,5375.64013671875,2.859999895095825
43531,App Push Notification,2024-01-29,New Users,App,8040,513,59,2721.110107421875,5736.2099609375,1.9900000095367432
43641,Category Promotion,2023-10-27,Inactive,App,9512,880,20,3062.469970703125,8516.349609375,2.759999990463257
43642,Flash Sale,2024-03-01,Inactive,Social Media,1500,570,56,3318.4599609375,5605.2099609375,1.5
43680,Flash Sale,2024-03-23,New Users,Email,2410,953,98,1468.31005859375,9219.990234375,3.9100000858306885
44051,Membership Drive,2024-01-01,All,App,1592,229,93,3678.469970703125,7387.4501953125,1.5199999809265137
44404,New User Discount,2024-05-27,New Users,Email,7325,645,72,3234.219970703125,8283.1396484375,1.7200000286102295
44489,Category Promotion,2024-03-16,All,SMS,6667,138,78,1790.2900390625,8926.83984375,2.0299999713897705
44615,New User Discount,2023-10-01,New Users,Email,6658,381,59,4296.77978515625,5943.81982421875,2.0899999141693115
44684,App Push Notification,2024-01-14,Premium,SMS,2745,236,84,1456.7099609375,7139.6201171875,3.950000047683716
44688,Membership Drive,2023-08-08,New Users,SMS,8947,553,33,4927.43017578125,5439.27001953125,1.690000057220459
44861,Flash Sale,2024-10-10,All,SMS,1281,519,64,3766.6201171875,6098.22998046875,3.950000047683716
44995,New User Discount,2024-01-12,New Users,App,8492,555,44,4186.9599609375,9300.4599609375,3.940000057220459
45116,Referral Program,2024-02-15,All,App,6942,294,68,3067.050048828125,9737.259765625,3.5399999618530273
45555,Flash Sale,2024-05-21,All,SMS,5272,299,77,3058.699951171875,2446.47998046875,2.740000009536743
45754,New User Discount,2023-07-27,Premium,App,9055,580,100,1210.199951171875,6346.56982421875,2.130000114440918
45874,Category Promotion,2024-04-16,All,App,7757,544,42,3514.070068359375,2952.18994140625,3.0299999713897705
46129,Weekend Special,2023-07-22,Premium,Email,6093,702,40,1769.6199951171875,9296.349609375,1.7599999904632568
46328,Weekend Special,2024-06-17,Inactive,Social Media,9716,876,77,2058.47998046875,3654.760009765625,1.809999942779541
46333,Category Promotion,2023-12-10,All,Social Media,6866,825,56,4794.22998046875,6201.25,3.9200000762939453
46335,Weekend Special,2024-03-31,Premium,App,4376,118,88,2452.929931640625,3756.14990234375,3.5899999141693115
46705,Festival Offer,2023-11-30,Premium,App,9716,420,66,1387.72998046875,9758.9404296875,2.940000057220459
46844,New User Discount,2024-05-15,New Users,Email,9978,399,72,2185.909912109375,3110.0400390625,3.1600000858306885
46863,Flash Sale,2024-03-22,All,SMS,6698,887,53,4771.6201171875,6089.02978515625,2.5199999809265137
47028,Category Promotion,2023-10-18,Premium,App,1119,933,24,4664.3701171875,5759.56005859375,3.819999933242798
47386,App Push Notification,2024-04-11,All,App,9049,285,95,1967.280029296875,7385.58984375,2.319999933242798
47508,Festival Offer,2023-09-04,New Users,Social Media,6027,844,45,1737.0799560546875,4557.93017578125,1.5800000429153442
48197,Referral Program,2023-10-21,New Users,SMS,8285,424,12,4175.35986328125,6985.0,2.180000066757202
48515,Flash Sale,2023-04-08,New Users,Social Media,9969,985,66,4713.06005859375,5157.509765625,3.509999990463257
48752,App Push Notification,2023-12-05,Inactive,Email,3670,850,28,4480.14013671875,6691.740234375,2.8399999141693115
48952,Weekend Special,2023-08-03,Inactive,SMS,4288,129,46,3144.360107421875,5980.3798828125,2.2200000286102295
49074,Festival Offer,2024-05-06,Premium,App,2765,104,31,3793.2900390625,6954.0498046875,3.7200000286102295
49107,New User Discount,2024-02-12,New Users,SMS,2036,780,44,1727.02001953125,5449.990234375,2.640000104904175
49547,New User Discount,2024-06-03,Premium,App,3026,753,38,1095.8800048828125,9553.83984375,3.0199999809265137
49757,Email Campaign,2023-06-08,All,App,7805,292,99,1006.5700073242188,8402.5,2.859999895095825
49798,Festival Offer,2024-05-19,Premium,SMS,6100,207,23,3806.35009765625,7093.68994140625,3.2799999713897705
49888,Email Campaign,2023-07-16,All,SMS,4427,361,56,1865.280029296875,7137.2001953125,1.8200000524520874
50477,Festival Offer,2023-12-27,Inactive,Social Media,2529,173,57,1498.6700439453125,8971.7001953125,2.7300000190734863
50715,Festival Offer,2024-07-20,Inactive,Email,9611,902,63,1329.489990234375,7553.5400390625,1.9600000381469727
50773,Membership Drive,2023-11-21,New Users,SMS,9414,887,61,2354.300048828125,2400.93994140625,3.2300000190734863
50840,Category Promotion,2024-01-31,All,App,2846,132,29,1576.4200439453125,9130.169921875,3.869999885559082
51032,Email Campaign,2024-01-13,Premium,App,6681,764,64,2166.840087890625,4162.169921875,1.9600000381469727
51074,Email Campaign,2023-10-30,Premium,SMS,9043,836,10,3959.280029296875,9558.26953125,3.5899999141693115
51098,Email Campaign,2024-11-02,New Users,SMS,1423,802,40,1818.72998046875,4672.259765625,3.8299999237060547
51111,Weekend Special,2023-07-12,New Users,Social Media,1643,111,16,1865.18994140625,2020.1600341796875,3.569999933242798
