order_id,customer_id,order_date,order_total,payment_method,store_id,promised_delivery_time,actual_delivery_time,delivery_status,delivery_delay_hrs,order_day,order_week,order_month,order_year,day_of_week,is_weekend,order_hour,is_peak_hour,on_time_delivery,actual_delivery_day,promised_delivery_day,delivery_diff_days,delivery_speed_hrs,is_cod,is_high_value_order,log_order_total,daily_order_flag,is_month_start,is_month_end
11467999,78267238,2023-04-23 18:37:26,3051.18994140625,upi,5146,2023-04-23 18:57:26,2023-04-23 19:11:26,Slightly Delayed,0.2333333333333333,23,16,4,2023,6,1,18,1,0,2023-04-23,2023-04-23,0.009722222222222222,0.5666666666666667,0,1,8.023614625528852,1,0,0
14103943,9105829,2023-11-24 08:47:35,1538.300048828125,cash,6791,2023-11-24 09:07:35,2023-11-24 09:18:35,Slightly Delayed,0.1833333333333333,24,47,11,2023,4,0,8,0,0,2023-11-24,2023-11-24,0.007638888888888889,0.5166666666666667,0,0,7.339083078337022,1,0,0
15642223,85020453,2023-11-06 21:10:23,1712.739990234375,cash,864,2023-11-06 21:24:23,2023-11-06 21:27:23,On Time,0.05,6,45,11,2023,0,0,21,1,0,2023-11-06,2023-11-06,0.0020833333333333333,0.2833333333333333,0,0,7.446433390004251,1,0,0
16878685,37556526,2024-04-09 02:29:02,4267.93994140625,cash,9683,2024-04-09 02:44:02,2024-04-09 02:47:02,On Time,0.05,9,15,4,2024,1,0,2,0,0,2024-04-09,2024-04-09,0.0020833333333333333,0.3,0,1,8.359120818119822,1,0,0
22830983,92404798,2023-06-04 21:10:12,3061.389892578125,upi,2086,2023-06-04 21:26:12,2023-06-04 21:44:12,Significantly Delayed,0.3,4,22,6,2023,6,1,21,1,0,2023-06-04,2023-06-04,0.0125,0.5666666666666667,0,1,8.026950900762765,1,0,0
23158044,31681710,2023-05-19 19:28:28,2726.699951171875,upi,919,2023-05-19 19:41:28,2023-05-19 19:41:28,On Time,0.0,19,20,5,2023,4,0,19,1,1,2023-05-19,2023-05-19,0.0,0.21666666666666667,0,1,7.911214024340806,1,0,0
27296314,64562786,2024-10-17 16:13:30,3866.080078125,upi,3986,2024-10-17 16:24:30,2024-10-17 16:46:30,Significantly Delayed,0.3666666666666666,17,42,10,2024,3,0,16,0,0,2024-10-17,2024-10-17,0.015277777777777777,0.55,0,1,8.260254999467623,1,0,0
32604190,51503088,2023-12-08 09:08:03,1169.8399658203125,wallet,7220,2023-12-08 09:19:03,2023-12-08 09:16:03,On Time,-0.05,8,49,12,2023,4,0,9,0,1,2023-12-08,2023-12-08,-0.0020833333333333333,0.13333333333333333,0,0,7.0654766897154095,1,0,0
32613017,82594354,2023-03-17 00:20:41,2354.280029296875,card,3364,2023-03-17 00:36:41,2023-03-17 00:36:41,On Time,0.0,17,11,3,2023,4,0,0,0,1,2023-03-17,2023-03-17,0.0,0.26666666666666666,0,1,7.76441490778779,1,0,0
35135941,28205701,2024-07-29 18:08:33,1216.1600341796875,upi,229,2024-07-29 18:26:33,2024-07-29 18:21:33,On Time,-0.0833333333333333,29,31,7,2024,0,0,18,1,1,2024-07-29,2024-07-29,-0.003472222222222222,0.21666666666666667,0,0,7.104275583257412,1,0,1
38408517,39674723,2023-11-26 08:38:03,88.43000030517578,cash,5135,2023-11-26 08:58:03,2023-11-26 09:20:03,Significantly Delayed,0.3666666666666666,26,47,11,2023,6,1,8,0,0,2023-11-26,2023-11-26,0.015277777777777777,0.7,0,0,4.493456199770544,1,0,0
39405769,24621386,2023-04-07 12:46:40,941.25,card,9711,2023-04-07 12:56:40,2023-04-07 13:11:40,Slightly Delayed,0.25,7,14,4,2023,4,0,12,0,0,2023-04-07,2023-04-07,0.010416666666666666,0.4166666666666667,0,0,6.848270632147245,1,0,0
39791095,625395,2024-04-06 10:58:05,480.8500061035156,card,9008,2024-04-06 11:17:05,2024-04-06 11:22:05,On Time,0.0833333333333333,6,14,4,2024,5,1,10,0,0,2024-04-06,2024-04-06,0.003472222222222222,0.4,0,0,6.177632874964134,1,0,0
42332130,70363568,2024-10-17 17:08:04,1441.0699462890625,wallet,9022,2024-10-17 17:18:04,2024-10-17 17:15:04,On Time,-0.05,17,42,10,2024,3,0,17,0,1,2024-10-17,2024-10-17,-0.0020833333333333333,0.11666666666666667,0,0,7.273834823110286,1,0,0
47467466,55693909,2023-09-05 16:53:11,102.44000244140624,wallet,2532,2023-09-05 17:04:11,2023-09-05 17:02:11,On Time,-0.0333333333333333,5,36,9,2023,1,0,16,0,1,2023-09-05,2023-09-05,-0.001388888888888889,0.15,0,0,4.6389917580657505,1,0,0
47953423,96806748,2024-02-27 00:13:46,2094.280029296875,upi,6448,2024-02-27 00:28:46,2024-02-27 00:32:46,On Time,0.0666666666666666,27,9,2,2024,1,0,0,0,0,2024-02-27,2024-02-27,0.002777777777777778,0.31666666666666665,0,0,7.647442488959298,1,0,1
50845914,54893418,2023-04-09 04:18:56,3226.43994140625,card,4686,2023-04-09 04:37:56,2023-04-09 04:34:56,On Time,-0.05,9,14,4,2023,6,1,4,0,1,2023-04-09,2023-04-09,-0.0020833333333333333,0.26666666666666666,0,1,8.079444514153003,1,0,0
52324496,81605722,2024-02-23 17:32:54,560.5399780273438,card,4009,2024-02-23 17:47:54,2024-02-23 17:52:54,On Time,0.0833333333333333,23,8,2,2024,4,0,17,0,0,2024-02-23,2024-02-23,0.003472222222222222,0.3333333333333333,0,0,6.330682970267938,1,0,0
56705032,63060947,2023-11-16 04:30:25,3069.97998046875,upi,8706,2023-11-16 04:40:25,2023-11-16 04:54:25,Slightly Delayed,0.2333333333333333,16,46,11,2023,3,0,4,0,0,2023-11-16,2023-11-16,0.009722222222222222,0.4,0,1,8.029752001523041,1,0,0
59461109,67708491,2023-05-06 13:44:41,2017.97998046875,upi,5800,2023-05-06 13:55:41,2023-05-06 13:55:41,On Time,0.0,6,18,5,2023,5,1,13,0,1,2023-05-06,2023-05-06,0.0,0.18333333333333332,0,0,7.610347702695947,1,0,0
63363146,16410155,2023-07-12 01:33:45,4207.7099609375,cash,3833,2023-07-12 01:50:45,2023-07-12 02:05:45,Slightly Delayed,0.25,12,28,7,2023,2,0,1,0,0,2023-07-12,2023-07-12,0.010416666666666666,0.5333333333333333,0,1,8.34491145713927,1,0,0
65827885,47577193,2023-07-27 00:13:05,1132.97998046875,cash,3817,2023-07-27 00:25:05,2023-07-27 00:20:05,On Time,-0.0833333333333333,27,30,7,2023,3,0,0,0,1,2023-07-27,2023-07-27,-0.003472222222222222,0.11666666666666667,0,0,7.033488830224237,1,0,0
69932727,83236183,2024-08-28 16:10:09,2192.280029296875,wallet,6580,2024-08-28 16:25:09,2024-08-28 16:20:09,On Time,-0.0833333333333333,28,35,8,2024,2,0,16,0,1,2024-08-28,2024-08-28,-0.003472222222222222,0.16666666666666666,0,1,7.693153432603752,1,0,0
71793937,13189939,2024-04-20 23:44:39,2269.580078125,cash,9947,2024-04-21 00:02:39,2024-04-21 00:00:39,On Time,-0.0333333333333333,20,16,4,2024,5,1,23,0,1,2024-04-21,2024-04-21,-0.001388888888888889,0.26666666666666666,0,1,7.727790618854631,1,0,0
72748189,82286725,2023-06-18 06:33:23,3654.10009765625,wallet,4974,2023-06-18 06:47:23,2023-06-18 07:06:23,Significantly Delayed,0.3166666666666666,18,24,6,2023,6,1,6,0,0,2023-06-18,2023-06-18,0.013194444444444444,0.55,0,1,8.203878758308534,1,0,0
77053363,74172010,2023-05-04 19:19:43,4566.2099609375,upi,2000,2023-05-04 19:38:43,2023-05-04 19:38:43,On Time,0.0,4,18,5,2023,3,0,19,1,1,2023-05-04,2023-05-04,0.0,0.31666666666666665,0,1,8.426657785620149,1,0,0
79029185,39645619,2024-06-06 13:46:34,1039.3199462890625,cash,5208,2024-06-06 14:05:34,2024-06-06 14:20:34,Slightly Delayed,0.25,6,23,6,2024,3,0,13,0,0,2024-06-06,2024-06-06,0.010416666666666666,0.5666666666666667,0,0,6.947283585486293,1,0,0
80296810,21677923,2024-06-05 03:37:45,4283.330078125,cash,2319,2024-06-05 03:52:45,2024-06-05 03:51:45,On Time,-0.0166666666666666,5,23,6,2024,2,0,3,0,1,2024-06-05,2024-06-05,-0.0006944444444444445,0.23333333333333334,0,1,8.3627194776483,1,0,0
87784691,92583164,2024-09-29 00:51:06,534.5499877929688,wallet,3159,2024-09-29 01:10:06,2024-09-29 01:13:06,On Time,0.05,29,39,9,2024,6,1,0,0,0,2024-09-29,2024-09-29,0.0020833333333333333,0.36666666666666664,0,0,6.28329423341719,1,0,1
89194627,37947202,2024-03-06 18:11:09,2925.550048828125,upi,9507,2024-03-06 18:27:09,2024-03-06 18:24:09,On Time,-0.05,6,10,3,2024,2,0,18,1,1,2024-03-06,2024-03-06,-0.0020833333333333333,0.21666666666666667,0,1,7.981579550525283,1,0,0
99708985,91130614,2023-11-19 04:29:38,2255.0,card,6116,2023-11-19 04:46:38,2023-11-19 04:55:38,Slightly Delayed,0.15,19,46,11,2023,6,1,4,0,0,2023-11-19,2023-11-19,0.00625,0.43333333333333335,0,1,7.721348612617949,1,0,0
99905061,47590944,2023-11-16 20:08:23,2948.85009765625,card,442,2023-11-16 20:26:23,2023-11-16 20:34:23,Slightly Delayed,0.1333333333333333,16,46,11,2023,3,0,20,1,0,2023-11-16,2023-11-16,0.005555555555555556,0.43333333333333335,0,1,7.989509633688959,1,0,0
101613683,43377076,2023-06-29 20:45:29,1314.0899658203125,card,3603,2023-06-29 21:03:29,2023-06-29 20:58:29,On Time,-0.0833333333333333,29,26,6,2023,3,0,20,1,1,2023-06-29,2023-06-29,-0.003472222222222222,0.21666666666666667,0,0,7.181660357344142,1,0,1
101816977,26903313,2024-02-20 06:23:43,3486.10009765625,wallet,949,2024-02-20 06:37:43,2024-02-20 06:41:43,On Time,0.0666666666666666,20,8,2,2024,1,0,6,0,0,2024-02-20,2024-02-20,0.002777777777777778,0.3,0,1,8.15682575221611,1,0,0
102639985,40392019,2023-08-27 06:58:21,3686.280029296875,wallet,4639,2023-08-27 07:12:21,2023-08-27 07:15:21,On Time,0.05,27,34,8,2023,6,1,6,0,0,2023-08-27,2023-08-27,0.0020833333333333333,0.2833333333333333,0,1,8.212644345796726,1,0,0
103589925,65406127,2024-05-17 23:30:05,3805.989990234375,upi,8251,2024-05-17 23:42:05,2024-05-17 23:52:05,Slightly Delayed,0.1666666666666666,17,20,5,2024,4,0,23,0,0,2024-05-17,2024-05-17,0.006944444444444444,0.36666666666666664,0,1,8.244594127073649,1,0,0
105578518,38615653,2024-03-03 01:59:51,1034.1600341796875,cash,3362,2024-03-03 02:13:51,2024-03-03 02:27:51,Slightly Delayed,0.2333333333333333,3,9,3,2024,6,1,1,0,0,2024-03-03,2024-03-03,0.009722222222222222,0.4666666666666667,0,0,6.942311316142492,1,0,0
110303417,57566548,2024-05-24 01:48:07,2258.2900390625,wallet,7725,2024-05-24 02:08:07,2024-05-24 02:08:07,On Time,0.0,24,21,5,2024,4,0,1,0,1,2024-05-24,2024-05-24,0.0,0.3333333333333333,0,1,7.7228059009056516,1,0,0
111296281,28413467,2024-05-28 15:17:09,4414.18994140625,upi,348,2024-05-28 15:30:09,2024-05-28 15:28:09,On Time,-0.0333333333333333,28,22,5,2024,1,0,15,0,1,2024-05-28,2024-05-28,-0.001388888888888889,0.18333333333333332,0,1,8.392806133948717,1,0,0
112658009,35144658,2023-07-11 17:41:34,3834.360107421875,cash,8111,2023-07-11 17:55:34,2023-07-11 17:52:34,On Time,-0.05,11,28,7,2023,1,0,17,0,1,2023-07-11,2023-07-11,-0.0020833333333333333,0.18333333333333332,0,1,8.252018609633389,1,0,0
114306835,13251137,2024-02-06 20:32:16,2885.110107421875,wallet,3692,2024-02-06 20:47:16,2024-02-06 20:52:16,On Time,0.0833333333333333,6,6,2,2024,1,0,20,1,0,2024-02-06,2024-02-06,0.003472222222222222,0.3333333333333333,0,1,7.967664890865869,1,0,0
114851727,46875863,2024-10-04 03:16:47,1944.2900390625,wallet,1875,2024-10-04 03:26:47,2024-10-04 03:25:47,On Time,-0.0166666666666666,4,40,10,2024,4,0,3,0,1,2024-10-04,2024-10-04,-0.0006944444444444445,0.15,0,0,7.5731663652758305,1,0,0
120178110,65294340,2024-01-21 01:20:21,1508.300048828125,wallet,6099,2024-01-21 01:37:21,2024-01-21 01:47:21,Slightly Delayed,0.1666666666666666,21,3,1,2024,6,1,1,0,0,2024-01-21,2024-01-21,0.006944444444444444,0.45,0,0,7.319401278516886,1,0,0
120996684,92455970,2023-10-02 11:21:59,3139.6201171875,card,5536,2023-10-02 11:35:59,2023-10-02 11:45:59,Slightly Delayed,0.1666666666666666,2,40,10,2023,0,0,11,0,0,2023-10-02,2023-10-02,0.006944444444444444,0.4,0,1,8.052175548953965,1,0,0
121874867,94529626,2023-03-28 00:53:55,2596.919921875,upi,7775,2023-03-28 01:10:55,2023-03-28 01:05:55,On Time,-0.0833333333333333,28,13,3,2023,1,0,0,0,1,2023-03-28,2023-03-28,-0.003472222222222222,0.2,0,1,7.86246637376667,1,0,0
125551624,14693393,2024-08-12 21:32:30,4082.469970703125,card,5715,2024-08-12 21:44:30,2024-08-12 21:44:30,On Time,0.0,12,33,8,2024,0,0,21,1,1,2024-08-12,2024-08-12,0.0,0.2,0,1,8.314702388957926,1,0,0
127277515,35455991,2023-09-30 08:18:09,2838.47998046875,card,3277,2023-09-30 08:37:09,2023-09-30 08:41:09,On Time,0.0666666666666666,30,39,9,2023,5,1,8,0,0,2023-09-30,2023-09-30,0.002777777777777778,0.38333333333333336,0,1,7.951376208920649,1,0,1
131913576,48228547,2023-10-17 03:00:39,2136.820068359375,wallet,3581,2023-10-17 03:10:39,2023-10-17 03:12:39,On Time,0.0333333333333333,17,42,10,2023,1,0,3,0,0,2023-10-17,2023-10-17,0.001388888888888889,0.2,0,1,7.667541929184396,1,0,0
135053432,10796846,2023-04-24 13:30:15,3330.43994140625,wallet,5488,2023-04-24 13:50:15,2023-04-24 13:52:15,On Time,0.0333333333333333,24,17,4,2023,0,0,13,0,0,2023-04-24,2023-04-24,0.001388888888888889,0.36666666666666664,0,1,8.111159904346849,1,0,0
137089318,6637282,2024-05-23 15:38:38,2254.260009765625,wallet,4547,2024-05-23 15:53:38,2024-05-23 15:48:38,On Time,-0.0833333333333333,23,21,5,2024,3,0,15,0,1,2024-05-23,2024-05-23,-0.003472222222222222,0.16666666666666666,0,1,7.721020548955288,1,0,0
139417019,75566105,2023-07-09 20:06:51,561.5900268554688,upi,6806,2023-07-09 20:18:51,2023-07-09 20:23:51,On Time,0.0833333333333333,9,27,7,2023,6,1,20,1,0,2023-07-09,2023-07-09,0.003472222222222222,0.2833333333333333,0,0,6.332551169015357,1,0,0
140980199,27504517,2024-03-05 14:09:06,769.7000122070312,upi,4915,2024-03-05 14:27:06,2024-03-05 14:36:06,Slightly Delayed,0.15,5,10,3,2024,1,0,14,0,0,2024-03-05,2024-03-05,0.00625,0.45,0,0,6.647299208622836,1,0,0
143399998,46686696,2024-10-17 13:55:44,481.6300048828125,upi,833,2024-10-17 14:13:44,2024-10-17 14:24:44,Slightly Delayed,0.1833333333333333,17,42,10,2024,3,0,13,0,0,2024-10-17,2024-10-17,0.007638888888888889,0.48333333333333334,0,0,6.179250324658189,1,0,0
145057465,54923640,2024-11-02 08:51:51,1590.1700439453125,cash,3887,2024-11-02 09:09:51,2024-11-02 09:04:51,On Time,-0.0833333333333333,2,44,11,2024,5,1,8,0,1,2024-11-02,2024-11-02,-0.003472222222222222,0.21666666666666667,0,0,7.372224901284943,1,0,0
147066568,44149982,2024-07-12 07:44:16,1180.6300048828125,cash,9742,2024-07-12 07:58:16,2024-07-12 07:55:16,On Time,-0.05,12,28,7,2024,4,0,7,0,1,2024-07-12,2024-07-12,-0.0020833333333333333,0.18333333333333332,0,0,7.074650124329776,1,0,0
148408710,60565603,2024-01-01 01:57:47,423.55999755859375,wallet,6403,2024-01-01 02:13:47,2024-01-01 02:17:47,On Time,0.0666666666666666,1,1,1,2024,0,0,1,0,0,2024-01-01,2024-01-01,0.002777777777777778,0.3333333333333333,0,0,6.051053332769201,1,1,0
155295996,24517523,2024-06-29 02:58:57,4190.02001953125,cash,5219,2024-06-29 03:16:57,2024-06-29 03:20:57,On Time,0.0666666666666666,29,26,6,2024,5,1,2,0,0,2024-06-29,2024-06-29,0.002777777777777778,0.36666666666666664,0,1,8.340699424704702,1,0,1
155568486,36517334,2023-12-26 04:56:10,936.97998046875,upi,3309,2023-12-26 05:07:10,2023-12-26 05:09:10,On Time,0.0333333333333333,26,52,12,2023,1,0,4,0,0,2023-12-26,2023-12-26,0.001388888888888889,0.21666666666666667,0,0,6.843728605994616,1,0,0
155669553,88779806,2023-04-06 14:25:38,2239.85009765625,upi,3785,2023-04-06 14:38:38,2023-04-06 14:36:38,On Time,-0.0333333333333333,6,14,4,2023,3,0,14,0,1,2023-04-06,2023-04-06,-0.001388888888888889,0.18333333333333332,0,1,7.714610580736438,1,0,0
156346853,57331847,2023-03-30 09:00:22,1506.3800048828125,card,5266,2023-03-30 09:13:22,2023-03-30 09:28:22,Slightly Delayed,0.25,30,13,3,2023,3,0,9,0,0,2023-03-30,2023-03-30,0.010416666666666666,0.4666666666666667,0,0,7.318128326682156,1,0,1
159394992,35358395,2024-08-06 06:44:30,611.7100219726562,card,9812,2024-08-06 06:59:30,2024-08-06 07:00:30,On Time,0.0166666666666666,6,32,8,2024,1,0,6,0,0,2024-08-06,2024-08-06,0.0006944444444444445,0.26666666666666666,0,0,6.417891776661088,1,0,0
163895717,61982521,2023-11-02 04:41:21,2751.590087890625,upi,5871,2023-11-02 05:01:21,2023-11-02 04:58:21,On Time,-0.05,2,44,11,2023,3,0,4,0,1,2023-11-02,2023-11-02,-0.0020833333333333333,0.2833333333333333,0,1,7.92029759754012,1,0,0
168067196,11071601,2024-07-16 13:16:12,1398.0,cash,6357,2024-07-16 13:30:12,2024-07-16 13:35:12,On Time,0.0833333333333333,16,29,7,2024,1,0,13,0,0,2024-07-16,2024-07-16,0.003472222222222222,0.31666666666666665,0,0,7.243512974665482,1,0,0
168180571,89910157,2023-03-16 14:50:01,563.4500122070312,cash,6130,2023-03-16 15:06:01,2023-03-16 15:16:01,Slightly Delayed,0.1666666666666666,16,11,3,2023,3,0,14,0,0,2023-03-16,2023-03-16,0.006944444444444444,0.43333333333333335,0,0,6.335851827333973,1,0,0
168804744,25128143,2023-10-28 07:21:34,3450.590087890625,card,4909,2023-10-28 07:34:34,2023-10-28 07:34:34,On Time,0.0,28,43,10,2023,5,1,7,0,1,2023-10-28,2023-10-28,0.0,0.21666666666666667,0,1,8.146590298886672,1,0,0
169590729,10019218,2024-05-23 05:12:37,2086.360107421875,cash,2744,2024-05-23 05:28:37,2024-05-23 05:24:37,On Time,-0.0666666666666666,23,21,5,2024,3,0,5,0,1,2024-05-23,2024-05-23,-0.002777777777777778,0.2,0,0,7.643655440070762,1,0,0
169867835,59545278,2023-08-16 22:27:20,632.4299926757812,wallet,5315,2023-08-16 22:39:20,2023-08-16 22:37:20,On Time,-0.0333333333333333,16,33,8,2023,2,0,22,1,1,2023-08-16,2023-08-16,-0.001388888888888889,0.16666666666666666,0,0,6.451149484855564,1,0,0
172987148,71607166,2024-11-03 16:39:53,2924.7099609375,cash,4430,2024-11-03 16:56:53,2024-11-03 17:21:53,Significantly Delayed,0.4166666666666667,3,44,11,2024,6,1,16,0,0,2024-11-03,2024-11-03,0.017361111111111112,0.7,0,1,7.981292451901848,1,0,0
173709007,43034188,2023-10-09 03:17:24,2685.030029296875,upi,3627,2023-10-09 03:27:24,2023-10-09 03:48:24,Significantly Delayed,0.35,9,41,10,2023,0,0,3,0,0,2023-10-09,2023-10-09,0.014583333333333334,0.5166666666666667,0,1,7.89581955695251,1,0,0
174306009,87457446,2024-08-09 00:24:44,2424.070068359375,upi,626,2024-08-09 00:35:44,2024-08-09 01:02:44,Significantly Delayed,0.45,9,32,8,2024,4,0,0,0,0,2024-08-09,2024-08-09,0.01875,0.6333333333333333,0,1,7.79361569712297,1,0,0
176509722,65221572,2023-10-16 22:34:31,2319.64990234375,upi,6275,2023-10-16 22:46:31,2023-10-16 22:44:31,On Time,-0.0333333333333333,16,42,10,2023,0,0,22,1,1,2023-10-16,2023-10-16,-0.001388888888888889,0.16666666666666666,0,1,7.749602555751765,1,0,0
177850987,51174875,2023-11-07 14:08:48,1934.6700439453125,upi,6015,2023-11-07 14:25:48,2023-11-07 14:22:48,On Time,-0.05,7,45,11,2023,1,0,14,0,1,2023-11-07,2023-11-07,-0.0020833333333333333,0.23333333333333334,0,0,7.5682088214649355,1,0,0
178737268,2164524,2023-06-18 19:52:44,726.4099731445312,upi,5088,2023-06-18 20:05:44,2023-06-18 20:04:44,On Time,-0.0166666666666666,18,24,6,2023,6,1,19,1,1,2023-06-18,2023-06-18,-0.0006944444444444445,0.2,0,0,6.589490243133261,1,0,0
183165359,73098723,2023-05-24 06:47:39,90.55999755859376,wallet,6151,2023-05-24 07:03:39,2023-05-24 07:32:39,Significantly Delayed,0.4833333333333333,24,21,5,2023,2,0,6,0,0,2023-05-24,2023-05-24,0.02013888888888889,0.75,0,0,4.516994468419815,1,0,0
184844043,33331259,2023-12-07 05:00:07,2146.320068359375,card,6656,2023-12-07 05:13:07,2023-12-07 05:08:07,On Time,-0.0833333333333333,7,49,12,2023,3,0,5,0,1,2023-12-07,2023-12-07,-0.003472222222222222,0.13333333333333333,0,1,7.671975863786712,1,0,0
186083059,67829645,2024-07-01 20:22:07,1855.6400146484373,wallet,6265,2024-07-01 20:32:07,2024-07-01 20:36:07,On Time,0.0666666666666666,1,27,7,2024,0,0,20,1,0,2024-07-01,2024-07-01,0.002777777777777778,0.23333333333333334,0,0,7.526523689382741,1,1,0
187728451,63262519,2023-11-27 21:06:51,4088.1298828125,wallet,497,2023-11-27 21:16:51,2023-11-27 21:15:51,On Time,-0.0166666666666666,27,48,11,2023,0,0,21,1,1,2023-11-27,2023-11-27,-0.0006944444444444445,0.15,0,1,8.316087483815302,1,0,0
189431942,58115779,2024-01-23 12:27:16,163.02999877929688,upi,3363,2024-01-23 12:47:16,2024-01-23 12:45:16,On Time,-0.0333333333333333,23,4,1,2024,1,0,12,0,1,2024-01-23,2024-01-23,-0.001388888888888889,0.3,0,0,5.100049330482444,1,0,0
192109127,82854537,2024-09-16 08:29:24,3949.02001953125,card,3033,2024-09-16 08:39:24,2024-09-16 08:49:24,Slightly Delayed,0.1666666666666666,16,38,9,2024,0,0,8,0,0,2024-09-16,2024-09-16,0.006944444444444444,0.3333333333333333,0,1,8.281475926118084,1,0,0
194459698,88553721,2023-06-15 15:44:24,2203.93994140625,card,723,2023-06-15 15:59:24,2023-06-15 15:58:24,On Time,-0.0166666666666666,15,24,6,2023,3,0,15,0,1,2023-06-15,2023-06-15,-0.0006944444444444445,0.23333333333333334,0,1,7.698455550052517,1,0,0
196885435,88045094,2023-06-25 02:20:56,96.08999633789062,wallet,8392,2023-06-25 02:40:56,2023-06-25 02:42:56,On Time,0.0333333333333333,25,25,6,2023,6,1,2,0,0,2023-06-25,2023-06-25,0.001388888888888889,0.36666666666666664,0,0,4.575638345663345,1,0,0
199903168,99627097,2023-04-16 10:59:20,1440.0400390625,upi,2391,2023-04-16 11:14:20,2023-04-16 11:11:20,On Time,-0.05,16,15,4,2023,6,1,10,0,1,2023-04-16,2023-04-16,-0.0020833333333333333,0.2,0,0,7.273120381222461,1,0,0
200000051,8632679,2023-10-04 20:08:09,1442.989990234375,upi,4060,2023-10-04 20:21:09,2023-10-04 20:17:09,On Time,-0.0666666666666666,4,40,10,2023,2,0,20,1,1,2023-10-04,2023-10-04,-0.002777777777777778,0.15,0,0,7.275165387458091,1,0,0
202466684,74840437,2023-08-08 06:00:23,2939.419921875,wallet,7242,2023-08-08 06:16:23,2023-08-08 06:11:23,On Time,-0.0833333333333333,8,32,8,2023,1,0,6,0,1,2023-08-08,2023-08-08,-0.003472222222222222,0.18333333333333332,0,1,7.98630768070314,1,0,0
203136866,91320466,2024-06-11 12:26:47,826.2100219726562,wallet,6082,2024-06-11 12:37:47,2024-06-11 12:36:47,On Time,-0.0166666666666666,11,24,6,2024,1,0,12,0,1,2024-06-11,2024-06-11,-0.0006944444444444445,0.16666666666666666,0,0,6.718058619218316,1,0,0
208989475,94713625,2023-03-16 11:38:32,2973.06005859375,cash,5189,2023-03-16 11:50:32,2023-03-16 11:48:32,On Time,-0.0333333333333333,16,11,3,2023,3,0,11,0,1,2023-03-16,2023-03-16,-0.001388888888888889,0.16666666666666666,0,1,7.997683321366883,1,0,0
