2025-10-04 00:18:13,389 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_orders'
2025-10-04 00:38:25,325 | ERROR | data_pipeline | Failed to fetch table 'blinkit_weather': Execution failed on sql 'SELECT * FROM blinkit_weather;': ('42S02', "[42S02] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid object name 'blinkit_weather'. (208) (SQLExecDirectW)")
2025-10-04 00:38:25,378 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_customer_feedback'
2025-10-04 00:38:25,406 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_delivery_performance'
2025-10-04 00:38:25,452 | INFO | data_pipeline | Fetched 5400 rows from table 'blinkit_marketing_performance'
2025-10-04 00:38:25,493 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_orders'
2025-10-04 00:39:26,373 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_order_items'
2025-10-04 00:39:26,437 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_delivery_performance'
2025-10-04 00:39:26,450 | INFO | data_pipeline | Fetched 268 rows from table 'blinkit_products'
2025-10-04 00:39:27,040 | ERROR | data_pipeline | Failed to fetch table 'blinkit_weather': Execution failed on sql 'SELECT * FROM blinkit_weather;': ('42S02', "[42S02] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid object name 'blinkit_weather'. (208) (SQLExecDirectW)")
2025-10-04 00:39:27,087 | INFO | data_pipeline | Fetched 2500 rows from table 'blinkit_customers'
2025-10-04 00:39:27,120 | INFO | data_pipeline | Fetched 5400 rows from table 'blinkit_marketing_performance'
2025-10-04 00:39:29,231 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_orders'
2025-10-04 00:39:29,300 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_customer_feedback'
2025-10-04 00:40:01,207 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_order_items'
2025-10-04 00:40:01,266 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_delivery_performance'
2025-10-04 00:40:01,291 | INFO | data_pipeline | Fetched 2500 rows from table 'blinkit_customers'
2025-10-04 00:40:01,301 | ERROR | data_pipeline | Failed to fetch table 'blinkit_weather': Execution failed on sql 'SELECT * FROM blinkit_weather;': ('42S02', "[42S02] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid object name 'blinkit_weather'. (208) (SQLExecDirectW)")
2025-10-04 00:40:01,310 | INFO | data_pipeline | Fetched 268 rows from table 'blinkit_products'
2025-10-04 00:40:01,365 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_customer_feedback'
2025-10-04 00:40:01,412 | INFO | data_pipeline | Fetched 5400 rows from table 'blinkit_marketing_performance'
2025-10-04 00:40:01,455 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_orders'
2025-10-04 00:41:49,677 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_order_items'
2025-10-04 00:41:49,729 | INFO | data_pipeline | Fetched 2500 rows from table 'blinkit_customers'
2025-10-04 00:41:49,763 | INFO | data_pipeline | Fetched 268 rows from table 'blinkit_products'
2025-10-04 00:41:49,770 | ERROR | data_pipeline | Failed to fetch table 'blinkit_weather': Execution failed on sql 'SELECT * FROM blinkit_weather;': ('42S02', "[42S02] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid object name 'blinkit_weather'. (208) (SQLExecDirectW)")
2025-10-04 00:41:49,820 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_customer_feedback'
2025-10-04 00:41:49,854 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_delivery_performance'
2025-10-04 00:41:49,892 | INFO | data_pipeline | Fetched 5400 rows from table 'blinkit_marketing_performance'
2025-10-04 00:41:49,930 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_orders'
2025-10-04 00:51:36,344 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_delivery_performance'
2025-10-04 00:51:36,448 | INFO | data_pipeline | Fetched 5400 rows from table 'blinkit_marketing_performance'
2025-10-04 00:51:36,463 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_order_items'
2025-10-04 00:51:36,501 | ERROR | data_pipeline | Failed to fetch table 'blinkit_weather': Execution failed on sql 'SELECT * FROM blinkit_weather;': ('42S02', "[42S02] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid object name 'blinkit_weather'. (208) (SQLExecDirectW)")
2025-10-04 00:51:36,509 | INFO | data_pipeline | Fetched 268 rows from table 'blinkit_products'
2025-10-04 00:51:36,581 | INFO | data_pipeline | Fetched 2500 rows from table 'blinkit_customers'
2025-10-04 00:51:36,620 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_customer_feedback'
2025-10-04 00:51:36,654 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_orders'
2025-10-04 00:52:58,972 | INFO | data_pipeline | Fetched 186600 rows from table 'blinkit_weather_data'
2025-10-04 00:53:35,842 | INFO | data_pipeline | Fetched 186600 rows from table 'blinkit_weather_data'
2025-10-04 00:54:57,396 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_order_items'
2025-10-04 00:54:57,468 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_delivery_performance'
2025-10-04 00:55:03,207 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_customer_feedback'
2025-10-04 00:55:03,222 | ERROR | data_pipeline | Failed to fetch table 'blinkit_weather': Execution failed on sql 'SELECT * FROM blinkit_weather;': ('42S02', "[42S02] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid object name 'blinkit_weather'. (208) (SQLExecDirectW)")
2025-10-04 00:55:03,245 | INFO | data_pipeline | Fetched 268 rows from table 'blinkit_products'
2025-10-04 00:55:03,370 | INFO | data_pipeline | Fetched 2500 rows from table 'blinkit_customers'
2025-10-04 00:55:03,452 | INFO | data_pipeline | Fetched 5000 rows from table 'blinkit_orders'
2025-10-04 00:55:03,479 | INFO | data_pipeline | Fetched 5400 rows from table 'blinkit_marketing_performance'
2025-10-04 00:56:49,463 | WARNING | data_pipeline | Table 'blinkit_customer_feedback' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,464 | WARNING | data_pipeline | Table 'blinkit_customer_feedback' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,466 | WARNING | data_pipeline | Table 'blinkit_customer_feedback' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,474 | WARNING | data_pipeline | Table 'blinkit_customer_feedback' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,484 | WARNING | data_pipeline | Table 'blinkit_customers' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,495 | WARNING | data_pipeline | Table 'blinkit_delivery_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,503 | WARNING | data_pipeline | Table 'blinkit_customer_feedback' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,503 | WARNING | data_pipeline | Table 'blinkit_customers' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,504 | WARNING | data_pipeline | Table 'blinkit_delivery_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,507 | WARNING | data_pipeline | Table 'blinkit_customer_feedback' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,508 | WARNING | data_pipeline | Table 'blinkit_customers' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,508 | WARNING | data_pipeline | Table 'blinkit_delivery_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,511 | WARNING | data_pipeline | Table 'blinkit_marketing_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,512 | WARNING | data_pipeline | Table 'blinkit_customer_feedback' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,513 | WARNING | data_pipeline | Table 'blinkit_customers' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,518 | WARNING | data_pipeline | Table 'blinkit_delivery_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,520 | WARNING | data_pipeline | Table 'blinkit_marketing_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,522 | WARNING | data_pipeline | Table 'blinkit_order_items' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,550 | WARNING | data_pipeline | Table 'blinkit_customers' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,574 | WARNING | data_pipeline | Table 'blinkit_delivery_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,575 | WARNING | data_pipeline | Table 'blinkit_marketing_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,575 | WARNING | data_pipeline | Table 'blinkit_order_items' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,581 | WARNING | data_pipeline | Table 'blinkit_customers' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,583 | WARNING | data_pipeline | Table 'blinkit_delivery_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,584 | WARNING | data_pipeline | Table 'blinkit_marketing_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,584 | WARNING | data_pipeline | Table 'blinkit_order_items' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,586 | WARNING | data_pipeline | Table 'blinkit_customers' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,588 | WARNING | data_pipeline | Table 'blinkit_delivery_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,591 | WARNING | data_pipeline | Table 'blinkit_marketing_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,611 | WARNING | data_pipeline | Table 'blinkit_order_items' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,626 | WARNING | data_pipeline | Table 'blinkit_marketing_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,645 | WARNING | data_pipeline | Table 'blinkit_order_items' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,665 | WARNING | data_pipeline | Table 'blinkit_order_items' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,668 | WARNING | data_pipeline | Table 'blinkit_marketing_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,675 | WARNING | data_pipeline | Table 'blinkit_order_items' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,732 | WARNING | data_pipeline | No Redis data for 'blinkit_customer_feedback'
2025-10-04 00:56:49,733 | WARNING | data_pipeline | No Redis data for 'blinkit_delivery_performance'
2025-10-04 00:56:49,735 | WARNING | data_pipeline | No Redis data for 'blinkit_customers'
2025-10-04 00:56:49,735 | WARNING | data_pipeline | No Redis data for 'blinkit_marketing_performance'
2025-10-04 00:56:49,735 | WARNING | data_pipeline | No Redis data for 'blinkit_order_items'
2025-10-04 00:56:49,812 | WARNING | data_pipeline | Table 'blinkit_orders' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,816 | WARNING | data_pipeline | Table 'blinkit_products' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,820 | WARNING | data_pipeline | Table 'blinkit_weather' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,828 | WARNING | data_pipeline | Table 'blinkit_orders' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,831 | WARNING | data_pipeline | Table 'blinkit_products' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,834 | WARNING | data_pipeline | Table 'blinkit_weather' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,837 | WARNING | data_pipeline | Table 'blinkit_orders' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,838 | WARNING | data_pipeline | Table 'blinkit_products' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,840 | WARNING | data_pipeline | Table 'blinkit_weather' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,841 | WARNING | data_pipeline | Table 'blinkit_orders' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,843 | WARNING | data_pipeline | Table 'blinkit_products' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,845 | WARNING | data_pipeline | Table 'blinkit_weather' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,847 | WARNING | data_pipeline | Table 'blinkit_orders' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,849 | WARNING | data_pipeline | Table 'blinkit_products' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,852 | WARNING | data_pipeline | Table 'blinkit_weather' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,854 | WARNING | data_pipeline | Table 'blinkit_orders' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,855 | WARNING | data_pipeline | Table 'blinkit_products' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,857 | WARNING | data_pipeline | Table 'blinkit_weather' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,859 | WARNING | data_pipeline | Table 'blinkit_orders' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,861 | WARNING | data_pipeline | Table 'blinkit_products' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,864 | WARNING | data_pipeline | Table 'blinkit_weather' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 00:56:49,877 | WARNING | data_pipeline | No Redis data for 'blinkit_orders'
2025-10-04 00:56:49,884 | WARNING | data_pipeline | No Redis data for 'blinkit_weather'
2025-10-04 00:56:49,884 | WARNING | data_pipeline | No Redis data for 'blinkit_products'
2025-10-04 01:00:10,687 | WARNING | data_pipeline | Table 'blinkit_orders' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:10,703 | WARNING | data_pipeline | Table 'blinkit_orders' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:10,722 | WARNING | data_pipeline | Table 'blinkit_orders' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:10,736 | WARNING | data_pipeline | Table 'blinkit_orders' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:10,738 | WARNING | data_pipeline | Table 'blinkit_orders' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:10,743 | WARNING | data_pipeline | Table 'blinkit_orders' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:10,746 | WARNING | data_pipeline | Table 'blinkit_orders' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:11,048 | WARNING | data_pipeline | No Redis data for 'blinkit_orders'
2025-10-04 01:00:11,114 | WARNING | data_pipeline | Table 'blinkit_weather_data' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:11,116 | WARNING | data_pipeline | Table 'blinkit_weather_data' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:11,118 | WARNING | data_pipeline | Table 'blinkit_weather_data' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:11,120 | WARNING | data_pipeline | Table 'blinkit_weather_data' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:11,122 | WARNING | data_pipeline | Table 'blinkit_weather_data' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:11,125 | WARNING | data_pipeline | Table 'blinkit_weather_data' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:11,127 | WARNING | data_pipeline | Table 'blinkit_weather_data' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:11,140 | WARNING | data_pipeline | No Redis data for 'blinkit_weather_data'
2025-10-04 01:00:34,665 | WARNING | data_pipeline | Table 'blinkit_customer_feedback' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,668 | WARNING | data_pipeline | Table 'blinkit_customer_feedback' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,669 | WARNING | data_pipeline | Table 'blinkit_customer_feedback' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,692 | WARNING | data_pipeline | Table 'blinkit_customers' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,694 | WARNING | data_pipeline | Table 'blinkit_customer_feedback' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,695 | WARNING | data_pipeline | Table 'blinkit_customers' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,708 | WARNING | data_pipeline | Table 'blinkit_delivery_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,833 | WARNING | data_pipeline | Table 'blinkit_marketing_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,869 | WARNING | data_pipeline | Table 'blinkit_order_items' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,871 | WARNING | data_pipeline | Table 'blinkit_customer_feedback' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,871 | WARNING | data_pipeline | Table 'blinkit_customers' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,872 | WARNING | data_pipeline | Table 'blinkit_delivery_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,872 | WARNING | data_pipeline | Table 'blinkit_marketing_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,873 | WARNING | data_pipeline | Table 'blinkit_order_items' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,875 | WARNING | data_pipeline | Table 'blinkit_customer_feedback' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,880 | WARNING | data_pipeline | Table 'blinkit_customers' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,880 | WARNING | data_pipeline | Table 'blinkit_delivery_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,881 | WARNING | data_pipeline | Table 'blinkit_marketing_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,882 | WARNING | data_pipeline | Table 'blinkit_order_items' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,885 | WARNING | data_pipeline | Table 'blinkit_customer_feedback' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,889 | WARNING | data_pipeline | Table 'blinkit_customers' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,892 | WARNING | data_pipeline | Table 'blinkit_delivery_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,897 | WARNING | data_pipeline | Table 'blinkit_marketing_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,902 | WARNING | data_pipeline | Table 'blinkit_order_items' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,912 | WARNING | data_pipeline | Table 'blinkit_customers' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,917 | WARNING | data_pipeline | Table 'blinkit_delivery_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,926 | WARNING | data_pipeline | Table 'blinkit_marketing_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,931 | WARNING | data_pipeline | Table 'blinkit_order_items' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,935 | WARNING | data_pipeline | No Redis data for 'blinkit_customer_feedback'
2025-10-04 01:00:34,937 | WARNING | data_pipeline | Table 'blinkit_customers' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,941 | WARNING | data_pipeline | Table 'blinkit_delivery_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,943 | WARNING | data_pipeline | Table 'blinkit_marketing_performance' missing in DB, trying Redis fallback: maximum recursion depth exceeded
2025-10-04 01:00:34,948 | WARNING | data_pipeline | Table 'blinkit_order_items' missing in DB, trying Redis fallback: maximum recursion depth exceeded
